0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.14945881075863987,0.35569601268950907,0.7087681226454191,0.5171388720460146,1.620922363993909
0.5508975749560552,0.3967860277042231,0.040517548555012425,0.5644827500854841,1.9599967003995258
0.03169752849926536,1.8764725759350571,0.02753956042914162,0.256360470716756,1.3994452571344453
0.20876679241427346,3.39825986967202,0.07515881369431482,0.05969789607270204,1.0380936205931068
0.06514644784194554,2.932067137364558,0.26189362790435966,0.37580790901887057,0.6950814675786399
0.25312008748731785,4.601246186536251,0.46029483963742435,0.14842979008315088,0.5175175243085515
0.10444495809595361,7.2389060485396515,0.12844279806007458,0.1602856000199172,0.21697841529019635
0.07477204114020133,10.111512910332504,0.03525993880716764,0.7182889717981603,0.5805345015319129
0.12425174607275676,16.415480168707276,0.05259681820147317,0.7012037632749474,0.3494554903976375
0.19342447497196247,25.117421241134053,0.008670745016577256,1.4752857630534901,0.34878928099925954
0.09760678960185247,26.647470043425358,0.18694396944180106,2.9962072647345575,0.40129289208188285
0.8091965503260498,30.395567640528423,0.5328784044345303,4.723103188813036,0.5255346622356307
0.2816383413267425,41.06938521624419,1.1560847774435032,4.6450684364143005,0.5578937804761004
0.9541693610892577,47.35330007087998,2.3401967962945536,5.971421391178889,0.6941350561251988
0.5117386447400093,60.78712695052641,2.318251973926014,5.973202365670038,0.7533678860718839
0.718726955472671,58.216724076847235,1.036204796841368,11.120129830633175,1.3988690198185243
0.22187154529677008,77.23933552506342,0.4479236953723197,16.662716661360914,2.01774057739297
0.421801849443215,57.32361527855316,1.1464804769264036,17.18261111548916,3.61241538689154
